D:\BE Project\IMG\center_2022_11_21_15_37_37_362.jpg, D:\BE Project\IMG\left_2022_11_21_15_37_37_362.jpg, D:\BE Project\IMG\right_2022_11_21_15_37_37_362.jpg, 0, 0, 0, 8.238339E-05
D:\BE Project\IMG\center_2022_11_21_15_37_37_483.jpg, D:\BE Project\IMG\left_2022_11_21_15_37_37_483.jpg, D:\BE Project\IMG\right_2022_11_21_15_37_37_483.jpg, 0, 0, 0, 7.852713E-05
D:\BE Project\IMG\center_2022_11_21_15_37_37_602.jpg, D:\BE Project\IMG\left_2022_11_21_15_37_37_602.jpg, D:\BE Project\IMG\right_2022_11_21_15_37_37_602.jpg, 0, 0, 0, 8.040887E-05
D:\BE Project\IMG\center_2022_11_21_15_37_37_715.jpg, D:\BE Project\IMG\left_2022_11_21_15_37_37_715.jpg, D:\BE Project\IMG\right_2022_11_21_15_37_37_715.jpg, 0, 0, 0, 7.894421E-05
D:\BE Project\IMG\center_2022_11_21_15_37_37_834.jpg, D:\BE Project\IMG\left_2022_11_21_15_37_37_834.jpg, D:\BE Project\IMG\right_2022_11_21_15_37_37_834.jpg, 0, 0, 0, 8.078711E-05
D:\BE Project\IMG\center_2022_11_21_15_37_37_935.jpg, D:\BE Project\IMG\left_2022_11_21_15_37_37_935.jpg, D:\BE Project\IMG\right_2022_11_21_15_37_37_935.jpg, 0, 0, 0, 8.001787E-05
D:\BE Project\IMG\center_2022_11_21_15_37_38_036.jpg, D:\BE Project\IMG\left_2022_11_21_15_37_38_036.jpg, D:\BE Project\IMG\right_2022_11_21_15_37_38_036.jpg, 0, 0, 0, 7.820864E-05
D:\BE Project\IMG\center_2022_11_21_15_37_38_154.jpg, D:\BE Project\IMG\left_2022_11_21_15_37_38_154.jpg, D:\BE Project\IMG\right_2022_11_21_15_37_38_154.jpg, 0, 0, 0, 7.802252E-05
D:\BE Project\IMG\center_2022_11_21_15_37_38_273.jpg, D:\BE Project\IMG\left_2022_11_21_15_37_38_273.jpg, D:\BE Project\IMG\right_2022_11_21_15_37_38_273.jpg, 0, 0, 0, 7.851074E-05
D:\BE Project\IMG\center_2022_11_21_15_37_38_377.jpg, D:\BE Project\IMG\left_2022_11_21_15_37_38_377.jpg, D:\BE Project\IMG\right_2022_11_21_15_37_38_377.jpg, 0, 0, 0, 7.867267E-05
D:\BE Project\IMG\center_2022_11_21_15_37_38_496.jpg, D:\BE Project\IMG\left_2022_11_21_15_37_38_496.jpg, D:\BE Project\IMG\right_2022_11_21_15_37_38_496.jpg, 0, 0, 0, 7.802463E-05
D:\BE Project\IMG\center_2022_11_21_15_37_38_613.jpg, D:\BE Project\IMG\left_2022_11_21_15_37_38_613.jpg, D:\BE Project\IMG\right_2022_11_21_15_37_38_613.jpg, 0, 0, 0, 7.863102E-05
D:\BE Project\IMG\center_2022_11_21_15_37_38_728.jpg, D:\BE Project\IMG\left_2022_11_21_15_37_38_728.jpg, D:\BE Project\IMG\right_2022_11_21_15_37_38_728.jpg, 0, 0, 0, 7.827685E-05
D:\BE Project\IMG\center_2022_11_21_15_37_38_848.jpg, D:\BE Project\IMG\left_2022_11_21_15_37_38_848.jpg, D:\BE Project\IMG\right_2022_11_21_15_37_38_848.jpg, 0, 0.3598875, 0, 0.3006094
D:\BE Project\IMG\center_2022_11_21_15_37_38_951.jpg, D:\BE Project\IMG\left_2022_11_21_15_37_38_951.jpg, D:\BE Project\IMG\right_2022_11_21_15_37_38_951.jpg, 0, 0.6686286, 0, 0.9261609
D:\BE Project\IMG\center_2022_11_21_15_37_39_072.jpg, D:\BE Project\IMG\left_2022_11_21_15_37_39_072.jpg, D:\BE Project\IMG\right_2022_11_21_15_37_39_072.jpg, -0.2144661, 1, 0, 2.213155
D:\BE Project\IMG\center_2022_11_21_15_37_39_190.jpg, D:\BE Project\IMG\left_2022_11_21_15_37_39_190.jpg, D:\BE Project\IMG\right_2022_11_21_15_37_39_190.jpg, -0.5716386, 1, 0, 3.605419
D:\BE Project\IMG\center_2022_11_21_15_37_39_307.jpg, D:\BE Project\IMG\left_2022_11_21_15_37_39_307.jpg, D:\BE Project\IMG\right_2022_11_21_15_37_39_307.jpg, -0.2209902, 1, 0, 5.012314
D:\BE Project\IMG\center_2022_11_21_15_37_39_408.jpg, D:\BE Project\IMG\left_2022_11_21_15_37_39_408.jpg, D:\BE Project\IMG\right_2022_11_21_15_37_39_408.jpg, 0, 1, 0, 6.162345
D:\BE Project\IMG\center_2022_11_21_15_37_39_528.jpg, D:\BE Project\IMG\left_2022_11_21_15_37_39_528.jpg, D:\BE Project\IMG\right_2022_11_21_15_37_39_528.jpg, -0.1389738, 1, 0, 7.530838
D:\BE Project\IMG\center_2022_11_21_15_37_39_644.jpg, D:\BE Project\IMG\left_2022_11_21_15_37_39_644.jpg, D:\BE Project\IMG\right_2022_11_21_15_37_39_644.jpg, -0.4891059, 1, 0, 8.826793
D:\BE Project\IMG\center_2022_11_21_15_37_39_762.jpg, D:\BE Project\IMG\left_2022_11_21_15_37_39_762.jpg, D:\BE Project\IMG\right_2022_11_21_15_37_39_762.jpg, -0.4956591, 1, 0, 10.08967
D:\BE Project\IMG\center_2022_11_21_15_37_39_881.jpg, D:\BE Project\IMG\left_2022_11_21_15_37_39_881.jpg, D:\BE Project\IMG\right_2022_11_21_15_37_39_881.jpg, -0.136284, 1, 0, 11.42655
D:\BE Project\IMG\center_2022_11_21_15_37_40_003.jpg, D:\BE Project\IMG\left_2022_11_21_15_37_40_003.jpg, D:\BE Project\IMG\right_2022_11_21_15_37_40_003.jpg, 0, 1, 0, 12.50465
D:\BE Project\IMG\center_2022_11_21_15_37_40_121.jpg, D:\BE Project\IMG\left_2022_11_21_15_37_40_121.jpg, D:\BE Project\IMG\right_2022_11_21_15_37_40_121.jpg, 0, 1, 0, 13.96152
D:\BE Project\IMG\center_2022_11_21_15_37_40_239.jpg, D:\BE Project\IMG\left_2022_11_21_15_37_40_239.jpg, D:\BE Project\IMG\right_2022_11_21_15_37_40_239.jpg, -0.3559164, 1, 0, 15.21014
D:\BE Project\IMG\center_2022_11_21_15_37_40_342.jpg, D:\BE Project\IMG\left_2022_11_21_15_37_40_342.jpg, D:\BE Project\IMG\right_2022_11_21_15_37_40_342.jpg, -0.6635036, 1, 0, 16.14145
D:\BE Project\IMG\center_2022_11_21_15_37_40_442.jpg, D:\BE Project\IMG\left_2022_11_21_15_37_40_442.jpg, D:\BE Project\IMG\right_2022_11_21_15_37_40_442.jpg, -0.6966395, 1, 0, 16.97431
D:\BE Project\IMG\center_2022_11_21_15_37_40_562.jpg, D:\BE Project\IMG\left_2022_11_21_15_37_40_562.jpg, D:\BE Project\IMG\right_2022_11_21_15_37_40_562.jpg, -0.3375977, 1, 0, 18.26861
D:\BE Project\IMG\center_2022_11_21_15_37_40_680.jpg, D:\BE Project\IMG\left_2022_11_21_15_37_40_680.jpg, D:\BE Project\IMG\right_2022_11_21_15_37_40_680.jpg, 0, 1, 0, 19.49644
D:\BE Project\IMG\center_2022_11_21_15_37_40_796.jpg, D:\BE Project\IMG\left_2022_11_21_15_37_40_796.jpg, D:\BE Project\IMG\right_2022_11_21_15_37_40_796.jpg, 0, 1, 0, 20.69917
D:\BE Project\IMG\center_2022_11_21_15_37_40_918.jpg, D:\BE Project\IMG\left_2022_11_21_15_37_40_918.jpg, D:\BE Project\IMG\right_2022_11_21_15_37_40_918.jpg, 0, 1, 0, 21.89016
D:\BE Project\IMG\center_2022_11_21_15_37_41_020.jpg, D:\BE Project\IMG\left_2022_11_21_15_37_41_020.jpg, D:\BE Project\IMG\right_2022_11_21_15_37_41_020.jpg, 0, 1, 0, 22.85831
D:\BE Project\IMG\center_2022_11_21_15_37_41_137.jpg, D:\BE Project\IMG\left_2022_11_21_15_37_41_137.jpg, D:\BE Project\IMG\right_2022_11_21_15_37_41_137.jpg, 0, 1, 0, 24.03458
D:\BE Project\IMG\center_2022_11_21_15_37_41_255.jpg, D:\BE Project\IMG\left_2022_11_21_15_37_41_255.jpg, D:\BE Project\IMG\right_2022_11_21_15_37_41_255.jpg, 0, 1, 0, 25.19612
D:\BE Project\IMG\center_2022_11_21_15_37_41_373.jpg, D:\BE Project\IMG\left_2022_11_21_15_37_41_373.jpg, D:\BE Project\IMG\right_2022_11_21_15_37_41_373.jpg, 0, 1, 0, 26.33949
D:\BE Project\IMG\center_2022_11_21_15_37_41_492.jpg, D:\BE Project\IMG\left_2022_11_21_15_37_41_492.jpg, D:\BE Project\IMG\right_2022_11_21_15_37_41_492.jpg, -0.356091, 1, 0, 27.21529
